Users,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
267,41,Female,40,1.77,168,154,74,1.14,628,HIIT,19.9,3.4,5,Beginner,24.52
268,26,Female,63.9,1.75,199,121,72,2,638,HIIT,23.6,3.4,4,Intermediate  ,23.96
269,31,Female,40,2,192,134,55,1.44,1116,Strength,12,2.6,2,Intermediate  ,21.2
270,27,Male,91.9,1.5,185,154,60,1.08,825,HIIT,28.8,3.2,5,Intermediate  ,21.07
271,21,Male,76.8,1.52,191,140,66,1.08,702,Cardio,21,3.6,3,Intermediate  ,25.59
272,47,Female,70.7,1.66,195,169,60,1.25,1033,Yoga,16.7,3.5,4,Intermediate  ,14.61
273,33,Male,40,1.88,196,162,58,1.59,1131,Yoga,30.4,2.6,3,Beginner,21.91
274,59,Male,40,1.56,163,167,74,1.59,722,Cardio,23.7,3.2,4,Expert   ,12.32
275,43,Male,46.8,1.67,178,141,64,1.03,1403,Cardio,26.1,3.2,3,Beginner,14.13
276,27,Male,100.7,1.75,163,166,61,1.28,1159,Cardio,28.1,3.7,3,Beginner,12.32
277,44,Female,73.4,1.59,199,152,72,0.94,721,Cardio,23,2.2,4,Beginner,33.25
278,22,Male,63.4,1.83,196,169,71,1.66,466,Cardio,28,3.4,2,Expert   ,24.61
279,19,Female,129.9,1.71,161,169,56,2,443,Yoga,29.6,2.4,4,Intermediate  ,12.32
280,24,Female,48.3,1.73,193,136,62,1.98,1404,Strength,22,3.5,3,Beginner,13.22
281,45,Female,80.5,1.89,183,134,74,1.02,1311,HIIT,24.6,1.9,4,Beginner,12.32
282,18,Male,74.6,1.88,177,166,53,2,1010,Cardio,18,2.2,5,Beginner,30.5
283,21,Male,66.7,1.93,175,166,63,1.26,949,Yoga,27.8,3.4,2,Intermediate  ,13.53
284,31,Female,55,1.6,172,164,53,1.85,1361,Strength,20.6,3.4,4,Beginner,16.04
285,46,Male,65.7,1.75,192,135,59,1.31,881,Strength,10,2.7,2,Beginner,31.78
286,53,Female,84.7,1.61,193,158,72,2,478,Yoga,25.6,2.4,3,Beginner,18.57
287,18,Female,63.4,1.85,191,148,69,0.89,1106,Strength,21.4,2.3,5,Expert   ,15.64
288,48,Female,61.8,1.71,172,140,62,1.37,1266,Cardio,28.6,3.6,4,Beginner,23.64
289,25,Male,44.2,1.9,174,159,50,1.1,1293,Yoga,25.7,2.5,4,Intermediate  ,19.26
290,18,Female,43.1,1.75,183,138,53,1.95,437,Cardio,19.1,3.6,2,Intermediate  ,18.14
291,18,Male,92.1,1.59,171,150,54,1.17,968,Yoga,21.8,2.4,5,Intermediate  ,25.66
292,31,Male,58.7,1.66,183,149,74,1.15,1368,Cardio,23.1,2.3,4,Beginner,12.32
293,59,Female,44.5,1.84,183,154,71,1.28,787,Cardio,26.5,1.7,2,Intermediate  ,20.22
294,44,Female,84.8,2,196,155,70,1.66,1439,HIIT,12.1,1.7,2,Beginner,14.34
295,57,Female,80,1.79,167,127,54,1.01,312,Yoga,24.3,2.6,4,Intermediate  ,13.16
296,20,Male,87.1,1.91,186,150,51,1.39,1431,Yoga,27,2.8,3,Expert   ,21.51
297,27,Male,56.4,1.76,198,129,71,1.79,488,HIIT,22.9,3.3,4,Beginner,17.49
298,32,Male,58.4,2,179,139,60,1.21,1379,Strength,23.3,3.2,4,Intermediate  ,22.61
299,42,Female,68.5,1.75,187,167,54,1.3,708,Cardio,15.4,1.6,4,Beginner,33.91
300,55,Female,67.1,1.58,199,122,71,1.86,960,Strength,21.7,1.5,4,Intermediate  ,28.07
301,31,Female,55.7,1.8,168,167,64,1.53,600,HIIT,34.4,2.8,4,Expert   ,25.27
302,39,Female,63.2,1.74,181,157,54,1.62,900,Strength,13.9,2.1,5,Beginner,15.32
303,40,Female,64.6,1.55,198,133,74,1.39,303,Strength,21.4,1.5,2,Intermediate  ,16.91
304,26,Female,56.7,1.73,168,144,71,0.68,1129,Strength,25.5,3.4,3,Beginner,19.65
305,48,Male,56,1.7,164,132,50,2,1148,HIIT,26.6,3.1,2,Intermediate  ,19.44
306,54,Female,74.9,1.69,195,153,62,1.1,1389,Yoga,14.4,3.1,3,Beginner,18.71
307,18,Female,43,1.95,163,164,68,2,1349,Strength,18.5,3.2,2,Intermediate  ,12.32
308,59,Male,70.2,1.77,172,124,68,1.47,1069,Cardio,21.4,3.5,4,Beginner,40.19
309,23,Male,96.5,1.8,187,155,68,0.92,1465,Yoga,29.3,3.2,3,Beginner,12.32
310,30,Male,56.6,2,184,125,52,1.29,918,Cardio,28.9,3.3,2,Beginner,23.89
311,38,Female,40,1.88,164,154,70,1.63,1109,Yoga,20.7,1.7,2,Intermediate  ,12.64
312,48,Female,81.9,1.8,180,165,67,1.25,1410,Cardio,24,3.5,4,Intermediate  ,18.28
313,47,Male,121.4,1.61,164,155,74,0.94,934,Strength,24.7,2.5,2,Beginner,30.03
314,21,Female,70.5,1.84,173,127,66,0.97,1013,Cardio,26.7,1.6,5,Expert   ,25.59
315,23,Female,70.5,1.65,192,162,50,0.63,1186,Cardio,27.1,2.6,2,Intermediate  ,20.02
316,46,Male,54.8,1.69,194,148,74,0.52,846,Yoga,16.5,3.5,3,Expert   ,22.85
317,42,Male,72,1.9,184,147,67,1.48,1047,Yoga,15.6,3.4,3,Beginner,24.6
318,29,Male,56.3,1.81,189,166,65,1.39,1066,Strength,14.3,2.9,3,Beginner,22.34
319,47,Female,51.4,1.88,176,125,58,0.88,1133,Yoga,24,3.3,3,Expert   ,14.3
320,18,Male,73,1.78,161,131,50,2,1319,Strength,26.1,1.5,5,Beginner,12.32
321,50,Male,87.9,1.68,192,151,71,2,494,Strength,15.5,3.1,3,Expert   ,31.28
322,35,Male,53,1.67,183,128,72,1.29,682,Yoga,21.9,2.2,3,Intermediate  ,16.71
323,43,Female,46.3,1.61,190,136,69,2,1185,Yoga,21.4,3.5,4,Beginner,14.14
324,53,Female,82.9,1.6,170,148,55,1.93,541,HIIT,17.8,2.5,3,Intermediate  ,12.33
325,18,Female,71.9,1.54,177,120,73,1.17,817,Strength,16.8,2.6,3,Beginner,29.64
326,27,Male,41,1.82,171,138,53,1.47,1273,Cardio,29.1,2.4,4,Beginner,12.35
327,18,Male,67.7,1.69,192,123,57,1.44,1445,Cardio,26.8,3.1,3,Intermediate  ,21.16
328,22,Female,99.5,1.79,186,122,56,1.45,1783,Cardio,27.6,3.5,2,Intermediate  ,23.56
329,31,Female,47.4,1.73,178,150,57,1.64,962,Cardio,28.8,2,4,Expert   ,20.91
330,18,Male,71.1,1.84,189,127,74,0.85,1303,Strength,15.2,2.8,2,Expert   ,30.36
331,22,Male,89.8,1.79,179,163,59,2,1098,Strength,28.2,1.7,3,Beginner,12.32
332,28,Female,81.7,1.81,177,130,50,1.45,507,Cardio,23.2,1.7,3,Beginner,34.26
333,40,Male,40.4,1.68,171,130,54,2,527,Strength,27.3,3.3,4,Expert   ,20.47
334,56,Male,40,1.63,181,133,50,0.89,1674,Yoga,23.4,1.5,3,Intermediate  ,20.75
335,41,Male,40.2,1.76,198,135,56,1.93,964,Strength,18.8,3.4,4,Beginner,19.02
336,47,Male,49.9,1.74,190,120,65,1.97,406,HIIT,29.4,1.5,5,Intermediate  ,16.01
337,26,Male,40,1.72,164,169,58,0.89,1198,HIIT,17,1.6,5,Intermediate  ,20.71
338,18,Male,47.3,1.75,196,169,56,1.32,706,Cardio,29,1.9,2,Intermediate  ,30.5
339,19,Female,76.6,1.84,188,138,71,1.72,699,HIIT,28.3,3.5,4,Beginner,19.76
340,32,Female,69.5,1.65,192,140,52,1.71,1163,Cardio,29.8,3.5,4,Beginner,15.8
341,46,Female,68.6,1.63,177,150,58,2,1074,Strength,25.8,3.6,3,Expert   ,19.42
342,46,Male,73,2,184,123,64,0.9,1159,Cardio,10,3.4,5,Expert   ,14.91
343,52,Female,40.8,1.71,181,169,73,1.44,303,Yoga,28.3,1.6,3,Beginner,18.31
344,19,Male,42.1,1.6,194,148,73,1.27,1305,Cardio,12.7,3.3,2,Intermediate  ,16.65
345,34,Male,40,1.82,176,141,66,1.34,1709,Cardio,24.1,3,4,Beginner,15.3
346,18,Female,67.1,1.71,174,165,74,1.84,577,Strength,27.1,2.7,4,Expert   ,24.9
347,29,Male,72.1,2,166,124,67,2,1582,Strength,32.7,3.4,3,Intermediate  ,21.75
348,49,Female,62,1.87,195,125,74,1.04,842,HIIT,20,3.5,3,Beginner,22.02
349,21,Male,51.9,1.57,170,167,73,1.25,1082,Strength,27.5,1.6,3,Intermediate  ,18.89
350,33,Male,92.8,1.59,161,150,52,1.19,1640,Cardio,23.8,2.6,3,Expert   ,15.84
351,58,Female,40,1.7,193,120,52,0.99,1178,Yoga,21.2,2.5,5,Beginner,12.32
352,36,Female,44.9,1.79,166,120,74,1.66,811,HIIT,16.2,3.3,3,Beginner,29.4
353,33,Male,78.6,1.7,161,168,65,2,855,Cardio,10,3.2,2,Beginner,16.53
354,29,Male,53.8,1.66,163,133,64,2,1187,Strength,34.5,1.5,4,Beginner,23.95
355,44,Male,63.3,1.88,189,150,74,1.02,1184,Strength,16.5,3.5,4,Beginner,13.03
356,42,Female,98.1,1.73,165,120,69,1.52,477,Yoga,21.7,1.9,2,Intermediate  ,15.29
357,32,Male,87.2,1.5,193,152,58,1.28,1538,Cardio,23.2,2.1,3,Expert   ,16.29
358,48,Male,51.6,1.8,181,161,68,0.82,1487,Cardio,22.5,1.9,4,Intermediate  ,13.29
359,21,Male,69.4,1.85,177,153,74,1.55,879,Strength,10,2.4,3,Intermediate  ,17.58
360,38,Female,77.4,1.54,169,149,50,2,867,Strength,29,3.6,5,Intermediate  ,13.58
361,42,Female,82.3,1.94,198,132,57,1.46,1050,Yoga,10,3.2,3,Intermediate  ,20.23
362,40,Female,95.5,1.84,196,144,68,1.94,1568,Yoga,26.7,3.7,3,Beginner,17.55
363,19,Male,60.7,1.7,183,128,74,1.22,817,Strength,20.9,2.8,4,Beginner,35.87
364,34,Male,40,1.88,188,131,54,1.29,840,Cardio,11.9,1.9,3,Expert   ,18.81
365,37,Female,63.1,1.84,185,158,56,1.3,1248,HIIT,31.9,3.5,3,Beginner,26.39
366,51,Female,55.7,1.5,188,143,58,1.19,1302,HIIT,27.7,2,3,Beginner,28.28
367,52,Male,53.1,1.55,184,167,50,1.95,1205,Strength,14.6,3.5,5,Beginner,12.32
368,52,Female,65.8,1.82,168,167,71,1.15,751,Strength,17.1,1.5,3,Beginner,32.86
369,35,Female,40.4,1.71,176,130,70,1.97,1110,HIIT,17,3.6,4,Expert   ,29.32
370,45,Male,40,1.75,194,120,50,1.67,1296,Yoga,28.8,1.9,3,Expert   ,26.88
371,31,Male,40,2,176,162,69,1.45,949,Cardio,26.9,3.2,3,Intermediate  ,30.36
372,27,Male,40,1.68,166,128,59,1.6,1112,Yoga,10,2.6,4,Intermediate  ,19.67
373,18,Male,73,1.89,172,153,56,1.19,596,Cardio,15.6,3.4,5,Beginner,17.22
374,35,Female,127.6,1.65,174,156,56,1.9,1084,HIIT,20.4,3.4,5,Beginner,15.36
375,19,Female,43.6,1.7,168,126,55,1.42,685,HIIT,23.9,1.5,4,Expert   ,19.35
376,24,Male,54,1.71,191,169,71,1.23,730,Cardio,29,2.7,2,Intermediate  ,15.39
377,21,Female,87.8,1.88,195,133,74,1.95,621,HIIT,19.9,3.4,3,Expert   ,20.22
378,38,Male,82.7,2,178,138,72,1.46,1219,Yoga,25.8,3.6,4,Beginner,24.74
379,33,Male,84,1.7,194,156,73,0.5,580,Cardio,20.5,2.5,3,Expert   ,13.38
380,18,Female,58.4,1.87,167,168,74,1.42,1306,Cardio,26.9,3.2,2,Beginner,17.66
381,48,Male,63.8,1.79,185,135,71,1.69,1242,HIIT,29.7,1.5,4,Beginner,25.54
382,45,Male,94.6,1.69,178,147,56,1.95,1105,Yoga,29.9,1.8,2,Intermediate  ,15.15
383,21,Female,40,1.58,165,134,69,1.05,624,Strength,29.2,1.7,3,Beginner,12.47
384,59,Female,71.1,1.73,184,125,66,1.07,691,Cardio,25.2,2.6,2,Expert   ,34.41
385,22,Female,48.6,1.72,177,156,70,1.39,708,Yoga,25.4,3.4,3,Beginner,20.42
386,42,Male,57.3,1.73,194,153,65,1.97,1132,Strength,22.2,3.2,4,Beginner,19.54
387,36,Female,55.9,1.76,181,169,74,1.91,474,Strength,18.2,1.5,5,Beginner,12.32
388,41,Male,73.2,2,179,161,58,1.06,758,HIIT,17.6,1.8,2,Beginner,18.61
389,24,Female,91.8,1.82,171,140,52,2,1065,Strength,16.1,2.7,4,Intermediate  ,24.37
390,55,Female,51.9,1.64,171,150,68,1.05,1619,Strength,22.8,2.2,5,Expert   ,25.06
391,36,Male,60.1,1.78,186,169,51,1.46,1108,Cardio,35,2,3,Beginner,16.06
392,18,Female,40,1.56,196,149,56,0.79,1027,Strength,27.6,1.9,2,Beginner,12.98
393,23,Female,64.7,2,184,169,55,1.46,860,Strength,32.4,2.5,5,Intermediate  ,20.45
394,24,Male,73,1.61,188,131,60,0.56,864,Yoga,27.4,3.6,2,Intermediate  ,12.36
395,48,Female,79.1,1.63,168,135,53,1.15,1302,Yoga,35,3.3,4,Beginner,27.86
396,47,Female,82.2,1.72,174,126,70,1.15,1211,Yoga,25,3.7,2,Expert   ,12.4
397,54,Male,40,1.79,162,162,54,2,444,Yoga,16.9,2.3,5,Expert   ,22.6
398,33,Female,60.7,1.57,179,135,69,1.24,964,HIIT,26,2.9,3,Beginner,15.19
399,50,Female,76.4,1.54,172,133,71,1.3,1311,Strength,25.2,2.1,3,Beginner,33.64
400,49,Female,95.6,1.67,164,134,74,1.71,466,Cardio,26,1.8,3,Intermediate  ,14.67
401,25,Female,85.1,1.98,185,148,58,1.29,785,Yoga,22.5,3.5,4,Beginner,14.37
402,34,Female,72.9,1.71,164,122,73,1.78,432,HIIT,27.8,1.5,2,Intermediate  ,20.67
403,30,Female,42.2,1.63,177,134,74,2,685,Yoga,26.4,3.7,3,Intermediate  ,28.27
404,49,Male,40,1.76,193,124,72,1.3,1196,Cardio,11.2,2.2,4,Intermediate  ,16.86
405,18,Male,51.8,1.58,164,164,51,0.84,1110,Cardio,25.8,3.5,3,Expert   ,16.04
406,22,Male,64.6,2,196,137,73,0.85,704,HIIT,21.4,2.5,3,Expert   ,22.43
407,54,Male,55.2,1.8,168,137,55,2,1472,HIIT,27,3.1,4,Intermediate  ,23.47
408,49,Female,105.3,1.83,165,150,70,1.53,699,Strength,31.4,3.7,3,Beginner,39.35
409,18,Male,74.1,1.76,170,135,62,1.24,1214,Cardio,13.7,2.5,3,Intermediate  ,13.25
410,46,Female,40,1.75,170,142,63,0.96,919,Cardio,22.3,2.4,4,Intermediate  ,12.41
411,18,Male,91.1,1.76,197,162,59,1.52,1362,Cardio,28.8,3.4,3,Beginner,14.34
412,21,Female,49.2,1.64,177,164,53,0.58,1114,HIIT,23.3,2.9,3,Beginner,23.08
413,48,Female,40,1.77,180,127,54,1.48,1460,HIIT,27.2,2.4,5,Expert   ,18.51
414,48,Female,60,1.92,165,140,72,2,1751,HIIT,11.1,1.5,2,Intermediate  ,32.68
415,21,Male,56.1,1.54,\t182,168,52,1.34,1083,Strength,33.1,2.5,4,Intermediate  ,18.76
416,44,Male,56.1,1.68,191,152,69,1.8,1223,Strength,15.4,2.6,4,Intermediate  ,17.28
417,45,Male,59.5,1.61,194,121,55,1.3,741,Cardio,24.5,2,4,Expert   ,21.71
418,58,Male,73.5,1.93,175,169,61,1.45,1019,HIIT,14,2.7,2,Intermediate  ,14.74
419,18,Female,52.1,1.73,183,135,74,1.4,1141,Cardio,23.9,3.1,3,Beginner,12.32
420,20,Female,104.3,1.79,197,158,72,1.3,933,Strength,23.4,3.2,2,Expert   ,16.4
421,39,Female,65.3,1.61,187,141,74,1.69,1783,HIIT,30.3,3.4,3,Expert   ,21.86
422,52,Male,47.8,1.79,168,144,68,0.95,715,Cardio,27.3,2.4,5,Expert   ,17.21
423,18,Female,51.1,1.83,180,130,57,1.05,939,Strength,17,3,3,Intermediate  ,16.85
424,34,Male,62.5,1.87,185,167,73,0.96,1353,Cardio,29.6,2.3,4,Beginner,31.91
425,59,Female,57.4,1.56,190,156,72,1.15,813,Cardio,18.5,2.7,3,Intermediate  ,25.59
426,37,Male,108.7,1.55,163,122,68,1.19,1104,Strength,26.9,1.6,4,Intermediate  ,26.23
427,41,Female,40,1.6,164,143,73,1.52,727,Yoga,23.5,3.4,5,Intermediate  ,15.53
428,23,Male,90,1.58,172,164,60,0.78,682,Strength,25,3.2,4,Beginner,12.32
429,28,Female,91.6,1.68,191,128,59,0.68,1783,Yoga,19.1,2.6,2,Intermediate  ,12.48
430,48,Female,84.1,1.69,187,136,56,1.68,758,Strength,22.2,2.3,3,Expert   ,16.11
431,43,Female,57.8,1.57,190,142,56,1.39,698,Strength,21.3,1.6,4,Beginner,20.73
432,55,Female,100,1.63,183,155,74,2,1256,Cardio,10.5,2.4,3,Intermediate  ,12.32
433,30,Female,61.9,1.55,181,150,72,1.93,1117,HIIT,27.1,3.6,3,Intermediate  ,12.32
434,19,Male,58.6,1.64,187,135,66,1.18,1564,Yoga,10,3.4,3,Intermediate  ,21.91
435,21,Male,80.8,1.8,195,137,64,1.1,1285,Cardio,29.8,2.7,3,Expert   ,21.28
436,21,Female,42.7,1.81,166,139,71,1.42,1044,Cardio,26,3.2,3,Expert   ,12.32
437,29,Male,60.9,1.86,191,152,60,1.79,1108,Strength,31.5,1.5,4,Expert   ,42.08
438,40,Male,78.8,1.7,176,169,63,1.78,1179,Strength,21.1,1.9,2,Beginner,17.55
439,37,Female,85.3,1.69,162,136,71,1.49,859,HIIT,22.8,3.4,4,Intermediate  ,19.95
440,47,Female,84.8,1.58,180,157,54,0.83,940,Cardio,26.3,1.9,5,Intermediate  ,17.99
441,43,Male,57.4,1.69,166,143,66,1.14,775,Strength,23.7,3.3,3,Beginner,13.31
442,33,Male,40,1.81,189,157,71,1.32,1298,HIIT,20.1,3.4,2,Expert   ,16.68
443,33,Female,129.9,1.56,189,138,73,2,993,Strength,34,2.3,3,Intermediate  ,24.54
444,50,Male,55,1.5,177,120,69,1.07,715,Yoga,27.2,1.7,4,Intermediate  ,26.53
445,18,Male,41.6,1.94,168,153,57,0.86,1068,Strength,25,3.1,4,Beginner,19.74
446,43,Male,56.9,1.68,161,154,61,2,742,Strength,26.5,2,3,Beginner,21.48
447,20,Female,84.8,1.74,165,151,59,1.49,717,HIIT,24.9,3.4,4,Expert   ,14.13
448,24,Female,96.9,1.88,181,166,72,1.36,1220,Cardio,15.8,3.7,3,Intermediate  ,30.18
449,24,Male,81.2,1.56,182,166,66,1.62,1148,Yoga,25.5,2.7,4,Expert   ,31.34
450,53,Female,70.5,1.9,198,146,69,0.84,766,Cardio,31.9,2.9,5,Beginner,16.4
451,38,Male,58.7,1.72,189,152,58,1.21,1063,HIIT,21.2,1.6,3,Beginner,23.03
452,26,Male,62,1.65,199,142,56,1.61,1361,HIIT,35,3.5,2,Expert   ,13.96
453,18,Male,100.6,1.74,179,138,68,1.2,1261,Cardio,23.2,3.5,2,Intermediate  ,20.9
454,33,Female,63,1.71,189,126,57,1.24,1175,Strength,25.6,3.2,3,Beginner,15.02
455,45,Male,52.7,1.82,172,129,69,0.62,1783,Yoga,22.9,3.2,3,Beginner,24.95
456,29,Male,79.4,1.71,186,124,74,2,877,Yoga,29.6,1.5,3,Intermediate  ,27.97
457,37,Male,108.5,1.97,192,120,74,2,1091,Cardio,27.2,1.5,2,Beginner,23.59
458,34,Female,73.9,1.75,192,165,74,1.64,816,Cardio,35,1.5,3,Intermediate  ,22.1
459,36,Male,72.8,1.63,184,130,68,1.44,669,HIIT,25.1,1.7,3,Expert   ,12.32
460,34,Female,57.6,1.7,167,141,68,0.88,710,Cardio,14.7,1.5,3,Intermediate  ,15.66
461,48,Female,49.3,1.74,179,142,74,1.31,723,HIIT,19.2,3.5,4,Expert   ,19.2
462,18,Male,41.6,1.85,181,169,52,2,1130,Yoga,14.5,3.4,5,Expert   ,12.32
463,33,Male,65.6,1.87,189,168,56,1.16,1437,Yoga,16.3,3.5,2,Beginner,17.53
464,43,Female,73.6,1.79,170,169,72,1.16,1408,Strength,17.4,1.5,4,Beginner,14.69
465,49,Female,56,1.6,183,169,66,0.98,1263,Strength,27.9,1.7,5,Beginner,20.47
466,48,Female,40,1.66,189,120,74,1.36,614,Cardio,14.8,2.1,3,Beginner,12.32
467,44,Female,88.2,1.88,192,169,51,2,1783,HIIT,28.5,1.9,4,Intermediate  ,12.32
468,27,Female,55.8,1.67,192,167,74,2,642,Yoga,28.8,3.4,3,Intermediate  ,28.68
469,41,Male,73.2,1.75,190,137,58,1.24,1048,Strength,30.4,3.4,2,Expert   ,23.65
470,44,Male,40,1.72,179,124,74,0.85,1043,Cardio,22.8,2.1,5,Expert   ,20.78
471,54,Male,58.5,1.96,185,133,60,2,1131,Yoga,13.1,2.5,3,Beginner,18.11
472,45,Female,57.5,1.55,190,123,54,1.33,893,HIIT,28.8,3.3,3,Beginner,17.65
473,24,Female,55.6,1.73,175,120,71,1.09,775,Yoga,17.2,3,4,Intermediate  ,22.74
474,32,Female,42.4,1.79,176,135,56,1.63,843,Yoga,27.1,1.5,2,Intermediate  ,18.17
475,33,Female,77,1.69,191,154,58,1.16,1187,Cardio,29.1,3.2,4,Intermediate  ,12.32
476,28,Female,74.7,1.69,163,158,58,1.37,854,HIIT,14,3.4,4,Intermediate  ,13.79
477,59,Male,65.1,1.68,161,144,62,2,1050,Strength,26.1,2,5,Expert   ,23.59
478,21,Female,40,1.8,176,122,73,1.37,1171,HIIT,10,3.7,3,Beginner,19.84
479,23,Male,64.3,1.58,160,123,62,1.02,1360,Strength,22,3.4,4,Beginner,19.45
480,20,Female,43.6,1.6,165,141,60,1.37,1783,Strength,16.9,1.5,4,Beginner,15.52
481,21,Male,100.4,1.62,188,128,73,1.4,614,Strength,29.3,3.3,2,Beginner,33.21
482,48,Female,73.8,1.88,191,151,59,1.88,1783,Cardio,19.2,2,4,Beginner,12.32
483,23,Male,52.3,1.74,184,122,65,1.38,915,Yoga,10,3.5,4,Beginner,18.17
484,51,Male,57.3,1.71,188,169,50,1.09,1375,Strength,28.1,3.6,2,Expert   ,19.69
485,20,Male,92.8,2,195,154,58,1.44,676,Yoga,24.3,1.5,4,Intermediate  ,16.6
486,18,Male,56.2,1.75,164,127,57,1.45,952,Strength,29.6,3.5,4,Expert   ,17.29
487,24,Female,65.3,1.74,178,168,63,1.12,984,HIIT,25.6,3.3,4,Intermediate  ,19.87
488,37,Male,60.2,1.76,194,169,72,1.7,1114,Yoga,31.4,1.8,4,Intermediate  ,32.81
489,54,Female,56.6,1.67,199,123,60,1.09,962,Strength,25,3.1,5,Intermediate  ,12.32
490,34,Male,63.8,1.8,192,129,54,1.92,1229,Cardio,13.8,3.1,4,Intermediate  ,14.24
491,43,Female,43.9,1.82,173,164,72,1.61,567,HIIT,16.3,3.2,3,Beginner,19.29
492,24,Male,46,1.71,175,126,59,1.18,1725,Strength,26.1,1.5,2,Beginner,15.44
493,37,Female,58,1.89,182,163,72,1.39,1156,Yoga,26,3.4,5,Intermediate  ,23.79
494,55,Female,91.1,1.85,190,149,74,1.49,649,Strength,31.8,3,3,Beginner,29.5
495,43,Female,40,1.55,172,159,59,1.28,1480,Yoga,19.9,3,3,Expert   ,21.42
496,49,Female,40,1.89,192,168,50,1.51,837,Strength,29.4,3.5,3,Beginner,16.63
497,27,Female,96.8,1.73,174,136,71,1.91,887,Strength,31.7,2.6,3,Intermediate  ,19.05
498,20,Male,43.5,1.52,189,146,63,2,1213,Strength,24.3,2.5,4,Intermediate  ,25.35
499,55,Male,54.2,1.62,197,127,56,1.18,335,Strength,28.3,2.4,2,Beginner,20.94
500,34,Male,59.8,1.77,186,151,55,0.97,792,Yoga,23,2.1,3,Intermediate  ,24.41
501,18,Female,52.2,1.75,171,165,72,1.45,570,Strength,26.1,3.4,4,Beginner,12.48
502,40,Male,45.4,1.84,167,156,50,1.13,771,Cardio,11.5,3.5,4,Intermediate  ,12.32
503,28,Female,62.1,1.68,191,130,74,0.85,1098,Strength,13.9,2.8,4,Intermediate  ,28.14
504,26,Male,72.8,1.57,196,138,61,1.04,1382,Strength,29.8,3.4,2,Expert   ,16.61
505,27,Female,73.5,1.92,168,155,50,1.18,1048,Strength,14.2,3.4,5,Intermediate  ,18.37
506,51,Female,87.1,1.77,185,126,60,1.46,990,Cardio,21.1,3.4,2,Beginner,12.9
507,45,Male,76.3,1.67,177,168,50,1.41,1013,Cardio,11.6,3.1,3,Expert   ,14.42
508,33,Female,75.5,1.85,181,147,59,1.22,1267,HIIT,21.8,2.8,3,Intermediate  ,18.19
509,44,Female,49.3,1.55,193,168,72,1.48,918,Cardio,21.5,3.6,5,Beginner,21.77
510,56,Female,92,1.86,184,167,71,1.56,999,Cardio,24.2,2.1,5,Expert   ,31.52
511,46,Male,92.6,1.76,197,144,74,0.96,1291,HIIT,13.8,3.3,2,Intermediate  ,12.37
512,23,Male,83,1.74,160,120,72,1.35,1628,Yoga,21,3.3,5,Intermediate  ,15.13
513,21,Female,78.5,1.8,179,169,59,1.64,683,Yoga,23.9,2.7,4,Beginner,22.33
514,56,Female,56.2,1.69,198,155,74,1.64,1486,Cardio,24.4,1.8,2,Beginner,21.59
515,58,Male,87.4,1.64,188,148,57,0.56,1249,Strength,10,3.5,3,Expert   ,16.94
516,26,Male,92.2,1.59,176,143,55,1.57,1050,Strength,24.5,2.4,4,Intermediate  ,23
517,18,Male,83.1,1.94,188,153,56,1.41,1180,Yoga,24.4,3.3,3,Intermediate  ,17.84
518,53,Female,76.2,1.67,185,142,68,1.55,804,HIIT,25.5,3.4,3,Beginner,18.46
519,46,Female,48.4,1.82,163,163,68,1.51,1221,HIIT,19.2,3.7,5,Intermediate  ,12.32
520,24,Female,47.3,1.92,189,155,74,1.4,505,HIIT,29.5,3.4,5,Intermediate  ,12.34
521,31,Female,71.4,1.68,180,143,68,1.37,606,Yoga,23.8,3.2,2,Intermediate  ,21.59
522,24,Male,103.6,1.88,175,154,60,1.55,436,Yoga,20.9,3.2,3,Beginner,13.85
523,35,Female,81,1.78,196,151,67,2,1246,HIIT,10,3.3,3,Beginner,19.74
524,21,Female,80,1.67,167,169,57,0.94,899,Strength,29.8,3.1,3,Intermediate  ,17.15
525,29,Female,40,1.77,191,169,58,1.2,613,Strength,22.2,2.2,4,Intermediate  ,29.56
526,37,Male,48.3,1.81,167,134,69,1.97,1276,Yoga,26.1,1.8,3,Intermediate  ,20.81
527,18,Male,44.8,1.67,193,137,61,1.3,719,Yoga,21.6,2.3,4,Beginner,12.32
528,27,Female,40,1.72,178,132,72,0.83,857,Cardio,27.3,3.2,4,Intermediate  ,17.8
529,35,Female,66.7,1.72,171,153,65,1.15,776,HIIT,18.7,2.5,4,Beginner,22.98
530,39,Female,70.3,1.74,170,152,59,2,864,Cardio,20.4,1.5,3,Intermediate  ,17.03
531,26,Male,57.8,1.61,162,135,65,1.91,684,Yoga,18.2,3.7,3,Beginner,12.32
532,18,Male,40,1.72,193,138,74,1.41,726,Yoga,28,3.7,2,Expert   ,32.62
533,33,Male,79.8,1.53,172,148,72,1.98,1132,Yoga,14.7,1.7,3,Intermediate  ,16.6
534,47,Female,74.7,1.77,195,130,68,1.93,1056,HIIT,22.1,3.4,4,Intermediate  ,24.44
535,38,Male,101.8,1.51,163,169,72,1.42,1384,Strength,25.6,3.3,4,Beginner,20.89
536,42,Female,86.7,1.7,196,135,68,1.22,923,Strength,27.2,3.2,3,Intermediate  ,17.49
